Sentence_id,Text,class_label,processed_text
16499,"Well, Mr. Ford is - is uh changing uh considerably his previous philosophy.",1,well mr ford uh changing uh considerably previous philosophy
25783,You do a lot of things nobody knows about.,0,lot thing nobody know
25904,That's why I brought the leaders to Washington a few days ago.,0,thats brought leader washington day ago
16745,It called for an increase in the production of energy in the United States.,1,called increase production energy united state
1759,"And I do, both for corporations and for individuals.",0,corporation individual
26856,If we do those things we will build that bridge to the 21st Century and the greatest country in history will be even greater.,0,thing build bridge st century greatest country history even greater
7859,I've been critical of this Administration and I've been critical of the President.,0,ive critical administration ive critical president
22249,"Now, as long as we put up with that, that's what you're going to get.",0,long put thats youre going get
26990,"I'm not going to wear rose-colored glasses when it comes to Russia, or Mr. Putin.",0,im going wear rosecolored glass come russia mr putin
24368,We are the one that worked out the prison labor deal.,1,one worked prison labor deal
19031,That's the country that I'm going to fight for.,0,thats country im going fight
20849,"Show us if they are learning to read, write, add and subtract and if so there will be bonus plans.",0,show u learning read write add subtract bonus plan
22441,"Sure, you can do that with Congress.",0,sure congress
747,We've got to treat it as international crime.,0,weve got treat international crime
3935,"Yes, I think we need more troops.",0,yes think need troop
21211,"And like John McCain, I have learned from experience, and it's not a new position for me.",0,like john mccain learned experience new position
13340,I have suggested that the president should be given other weapons to protect the national interest in case of national emergency strikes beyond the injunction provision of the Taft-Hartley Act.,1,suggested president given weapon protect national interest case national emergency strike beyond injunction provision tafthartley act
25218,And we know what happened.,0,know happened
20476,"I know the oil companies have been itching to do that, but it is not the right thing for the future.",0,know oil company itching right thing future
505,"Well, I must have been living through a different eight years then the ones the vice president's been living through, because this administration has cut and slashed and cut and slashed programs for children, for nutrition, for the kinds of things that can help these youngsters to live better lives.",1,well must living different eight year one vice president living administration cut slashed cut slashed program child nutrition kind thing help youngster live better life
1810,What I've said is I won't put in place a tax cut that adds to the deficit.,0,ive said wont put place tax cut add deficit
33391,"Now, what I am also arguing is that bringing undocumented immigrants out from the shadows, putting them into the formal economy will be good, because then employers can't exploit them and undercut Americans' wages.",0,also arguing bringing undocumented immigrant shadow putting formal economy good employer cant exploit undercut american wage
7285,Neighborhoods are safer when we crack down on people who commit crimes with guns.,0,neighborhood safer crack people commit crime gun
13900,"Look, I am a job creator, not a job destroyer.",0,look job creator job destroyer
28340,"Look, the problem is that under Governor Bush's plan, $1.6 trillion tax cut, mostly to the wealthy, under his own budget numbers, he proposes spending more money for a tax cut just for the wealthiest 1% than all the new money he budgets for education, health care and national defense combined.",1,look problem governor bush plan trillion tax cut mostly wealthy budget number proposes spending money tax cut wealthiest new money budget education health care national defense combined
1906,"I think first of all, let me -- let me repeat -- let me repeat what I said.",0,think first let let repeat let repeat said
9159,"When you come out in 2014, I presume I'm going to be president.",0,come presume im going president
27760,"It's not my term, it's the president's own Secretary of Defense, called them devastating.",1,term president secretary defense called devastating
24845,"The US came together as we haven't in many, many years.",0,u came together havent many many year
24500,"Our funding for recovery is up, recovering the addicts.",1,funding recovery recovering addict
27506,I think they saw weakness where they had expected to find American strength.,0,think saw weakness expected find american strength
18131,"Now, that is not the judgment that a president of the United States ought to make.",0,judgment president united state ought make
14239,"I love the fact that people will listen to a guy with a bad accent and a poor presentation manner talking about flip charts for 30 minutes, because they want the details.",0,love fact people listen guy bad accent poor presentation manner talking flip chart minute want detail
10893,"Tom, wave like that and I'll look at you.",0,tom wave like ill look
18716,I'm interested in working with our nations and do a lot of it.,0,im interested working nation lot
17320,"The platform to which the President refers, in fact, calls for a religious test in the selection of judges.",0,platform president refers fact call religious test selection judge
757,"Now, it's fine to say that sometimes you have to hit base camps, but when the president saw this state sponsored-fingerprints of Muammar Khadaffi on the loss of American life, he hit Libya.",1,fine say sometimes hit base camp president saw state sponsoredfingerprints muammar khadaffi loss american life hit libya
21178,We need to say we each need to be responsible for what we do.,0,need say need responsible
21105,Your future benefits would be cut by the amount that's diverted into the stock market.,1,future benefit would cut amount thats diverted stock market
24225,And so I'll just be asking for support to get that put into effect.,0,ill asking support get put effect
14089,And we're in real trouble on that.,0,real trouble
27087,I believe he will go.,0,believe go
26558,"Third thing I think we need is more forums like this, which is one of the reasons I have so strongly supported campaign finance reform.",0,third thing think need forum like one reason strongly supported campaign finance reform
7992,And he defined that as someone who uses beans in place of meat.,0,defined someone us bean place meat
15901,"But when I was in that little church across the river from Washington and saw our grandchild christened in our faith, I was very pleased indeed that the mother had not aborted that child, and put the child up for adoption.",0,little church across river washington saw grandchild christened faith pleased indeed mother aborted child put child adoption
22315,There are 9 countries that spend more than we do on public education.,1,country spend public education
3378,"As we have seen tonight, foreign policy and defense policy are difficult and complex issues.",0,seen tonight foreign policy defense policy difficult complex issue
23151,Maybe you think that makes sense.,0,maybe think make sense
7115,We're continuing to increase manpower and equipment.,1,continuing increase manpower equipment
8056,Some of them have been Democrats and some of them have been Republicans.,0,democrat republican
16508,And this is what the Republicans have done to us.,0,republican done u
20431,I want to develop the coal resources in America.,0,want develop coal resource america
1778,So any -- any language to the contrary is simply not accurate.,0,language contrary simply accurate
18387,"I know we're not going to achieve our objective if we send mixed signals to our troops, our friends, the Iraqi citizens.",0,know going achieve objective send mixed signal troop friend iraqi citizen
20244,And I also think it's very important to go to the next stage of welfare reform.,0,also think important go next stage welfare reform
30106,"You look at the Middle East, it's a total mess.",0,look middle east total mess
32249,We're going to block grant into Medicaid into the states...,0,going block grant medicaid state
8570,"First of all, I think it is well to put in perspective where we really do stand with regard to the Soviet Union in this whole matter of growth.",0,first think well put perspective really stand regard soviet union whole matter growth
1934,"Well, mathematically, there are three ways that you can cut a deficit.",0,well mathematically three way cut deficit
24930,"We have a gentleman down in Nicaragua who is on contract to the CIA, advising -- supposedly on military tactics -- the contras.",1,gentleman nicaragua contract cia advising supposedly military tactic contra
25531,But this administration time and time again has lost its way in this field.,0,administration time time lost way field
20146,And I'm glad we're going in the right direction.,0,im glad going right direction
24345,"And we are helping democracy, Ross.",0,helping democracy ross
6370,And it's great to be with you again.,0,great
3235,That's one of the problems with this administration's so-called shuttle diplomacy.,0,thats one problem administration socalled shuttle diplomacy
3143,"I think good will on both parts, hard bargaining by both parties and a reasonable compromise will be in the best interests of all parties.",0,think good part hard bargaining party reasonable compromise best interest party
28827,"And incidentally, an excellent -- I mean, I think our success over the last eight years has not been in spite of diversity but because of it.",0,incidentally excellent mean think success last eight year spite diversity
5835,"Whenever you get a large rally of 10,000, 15,000, 20,000 people, you're going to have some fringe peoples.",0,whenever get large rally people youre going fringe people
16894,There's some question about their morality.,0,there question morality
6632,"Let me come back in one moment to that, but I want to speak for a second, if I can, to what the president said about fiscal responsibility.",0,let come back one moment want speak second president said fiscal responsibility
13920,Everybody says it'll create jobs.,0,everybody say itll create job
19909,"It's not being taken away from anybody else, except we'll downsize the Department of Education.",0,taken away anybody else except well downsize department education
2794,"In every one of these instances, the Ford administration has failed, and I hope tonight that I and Mr. Ford will have a chance to discuss the reasons for those failures.",0,every one instance ford administration failed hope tonight mr ford chance discus reason failure
6968,"And recognizing that, I called together a group of our fellow citizens to study the issue.",1,recognizing called together group fellow citizen study issue
4229,They were just waiting to seize the opportunity.,0,waiting seize opportunity
14746,"Now, the question is, can we win?",0,question win
24527,"Like Mr. Perot, I have held crack babies in my arms.",0,like mr perot held crack baby arm
6023,The same country that's helping us try to stop the flow of drugs into our country that's killing young Americans.,1,country thats helping u try stop flow drug country thats killing young american
660,"I'm not going to do that, because I think the jury is still out on the Soviet experiment.",0,im going think jury still soviet experiment
11005,What we're going to give you is a 50 percent tax credit to help provide health care for those that you need.,0,going give percent tax credit help provide health care need
16785,Now Governor Carter complains about the deficits that uh - uh - this administration has had.,0,governor carter complains deficit uh uh administration
1828,"I want to bring the rates down, at the same time lower deductions and exemptions and credits and so forth, so we keep getting the revenue we need.",0,want bring rate time lower deduction exemption credit forth keep getting revenue need
17125,"Virtually every economic analysis that I've heard of, including the distinguished Congressional Budget Office, which is respected by, I think, almost everyone, says that even with historically high levels of economic growth, we will suffer a $263 billion deficit.",1,virtually every economic analysis ive heard including distinguished congressional budget office respected think almost everyone say even historically high level economic growth suffer billion deficit
29989,"And one of the things he's done is to let loose cyber attackers to hack into government files, to hack into personal files, hack into the Democratic National Committee.",1,one thing he done let loose cyber attacker hack government file hack personal file hack democratic national committee
21091,It's a part of the Social Security system.,1,part social security system
2493,"What your plan does is to duplicate what's already the law, which says if you are out of health insurance for three months, then you can end up getting continuous coverage and an insurance company can't deny you if you've -- if it's been under 90 days.",1,plan duplicate whats already law say health insurance three month end getting continuous coverage insurance company cant deny youve day
11268,"But the Russians, I think we can deal with them but they've got to understand that they're facing a very firm and determined United States of America that will defend our interests and that of other countries in the world.",0,russian think deal theyve got understand theyre facing firm determined united state america defend interest country world
7500,"I believe I offer tested, strong leadership that can calm the waters of the troubled world.",0,believe offer tested strong leadership calm water troubled world
1666,But we all know that we've still got a lot of work to do.,0,know weve still got lot work
3683,But there's no doubt that we're not going to be able to do everything that I think needs to be done.,0,there doubt going able everything think need done
32972,I want a Supreme Court that doesn't always side with corporate interests.,0,want supreme court doesnt always side corporate interest
6525,One of the reasons I'm such a strong believer in legal reform is so that people aren't afraid of producing a product that is necessary for the health of our citizens and then end up getting sued in a court of law.,0,one reason im strong believer legal reform people arent afraid producing product necessary health citizen end getting sued court law
6221,"I don't know how you vote ""present"" on some of that.",0,dont know vote present
7528,"And yet, because of the hard work of the American people and good policies, this economy is growing.",1,yet hard work american people good policy economy growing
907,"Well, I think we have to go to work on the problem of Third World debt and we've got to assist those Third World countries in dealing with this massive debt which they currently-which they have incurred and which is burdening them and which if we don't do something about it and assist them along with other nations around the world, we'll destroy their economies, destroy their future.",0,well think go work problem third world debt weve got assist third world country dealing massive debt currentlywhich incurred burdening dont something assist along nation around world well destroy economy destroy future
7075,That has the benefit of making sure our employers aren't breaking the law as they try to fill their workforce needs.,0,benefit making sure employer arent breaking law try fill workforce need
671,The Reagan-Bush administration was right.,0,reaganbush administration right
26690,"So we have -- as we said, if you want to keep doing business and selling your products over here, you're going to have to quit pirating our CDs, and they agreed to do things and verify that they had done it, which will make the problem much better.",1,said want keep business selling product youre going quit pirating cd agreed thing verify done make problem much better
33536,She has been outsmarted and outplayed worse than anybody I've ever seen in any government whatsoever.,0,outsmarted outplayed worse anybody ive ever seen government whatsoever
33044,"You take a look at what's happening to steel and the cost of steel and China dumping vast amounts of steel all over the United States, which essentially is killing our steelworkers and our steel companies.",1,take look whats happening steel cost steel china dumping vast amount steel united state essentially killing steelworker steel company
8832,He's talking about that fantastic plan of the Administration to take thousands and thousands of square miles out in the Western states.,0,he talking fantastic plan administration take thousand thousand square mile western state
23904,I was 19 or 20 flying off an aircraft carrier and that shaped me to be Commander-in-Chief of the armed forces.,0,flying aircraft carrier shaped commanderinchief armed force
13956,I just have an honest philosophical difference.,0,honest philosophical difference
18430,"First of all, we all know that in his state of the union message, he told Congress about nuclear materials that didn't exist.",1,first know state union message told congress nuclear material didnt exist
24321,We're weak in the world.,0,weak world
5813,And I think Congressman Lewis' point was that we have to be careful about how we deal with our supporters.,0,think congressman lewis point careful deal supporter
7502,We can lift our schools up.,0,lift school
3044,It doesn't uh - make a determination as to how uh - that relationship should be achieved in relationship to our current uhh - diplomatic recognition and obligations to the Taiwanese Government.,0,doesnt uh make determination uh relationship achieved relationship current uhh diplomatic recognition obligation taiwanese government
18777,"And finally, we were a party to the convention -- to working with Germany, France and Great Britain to send their foreign ministers into Iran.",1,finally party convention working germany france great britain send foreign minister iran
6478,"Yes, we can be safe and secure, if we stay on the offense against the terrorists and if we spread freedom and liberty around the world.",0,yes safe secure stay offense terrorist spread freedom liberty around world
27755,"They look at the fact that we owe 'em a trillion dollars and owe other people $16 trillion in total, including that.",1,look fact owe em trillion dollar owe people trillion total including
17756,"Mr. Reagan, as you saw tonight -- President Reagan takes the position it will disappear by magic.",0,mr reagan saw tonight president reagan take position disappear magic
23280,"I'm pledging I will not raise taxes; I'm giving a tax cut to the people earning less than $200,000 a year.",0,im pledging raise tax im giving tax cut people earning le year
26775,"What we need is good, strong leadership going in the next century.",0,need good strong leadership going next century
12186,"And let me tell you exactly why I think that the choice he made to give a tax cut for the oil companies and others before addressing this -- I mean, if you were the governor of a state that was dead last in health care for families, and all of a sudden you found yourself with the biggest surplus your state had ever had in its history, wouldn't you want to maybe use some of it to climb from 50th to, say, 45 or 40 or something or maybe better?",0,let tell exactly think choice made give tax cut oil company others addressing mean governor state dead last health care family sudden found biggest surplus state ever history wouldnt want maybe use climb th say something maybe better
5976,"We can store and reprocess spent nuclear fuel, Senator Obama, no problem.",0,store reprocess spent nuclear fuel senator obama problem
29606,I could do that very quickly.,0,could quickly
33178,"It's all about the Constitution of -- of -- and so important, the Constitution the way it was meant to be.",0,constitution important constitution way meant
28331,So I'm going to ask the Congress to pass a teacher protection act.,0,im going ask congress pas teacher protection act
11198,"General Petraeus has just taken over a position of responsibility, where he has the command and will really set the tone for the strategy and tactics that are used.",0,general petraeus taken position responsibility command really set tone strategy tactic used
25504,"And the promise of the revolution was democracy, human rights, free labor unions, free press.",1,promise revolution democracy human right free labor union free press
10341,"I'm a guy who wants to help with the experience I have, the American people.",0,im guy want help experience american people
19979,"You've got one parent working for the government, the other parent working for the family.",0,youve got one parent working government parent working family
12599,Do you know today that the Com- the Russians broadcast ten times as many programs in Spanish to Latin America as we do?,1,know today com russian broadcast ten time many program spanish latin america
1404,And uh - that would be another factor that I would follow.,0,uh would another factor would follow
26612,It will probably happen in the year 2012 or 2015.,0,probably happen year
33174,"They are great scholars in all cases, and they're people of tremendous respect.",0,great scholar case theyre people tremendous respect
8258,"I come out of the Democratic party, which in this century has produced Woodrow Wilson and Franklin Roosevelt and Harry Truman, and which supported and sustained these programs which I've discussed tonight.",0,come democratic party century produced woodrow wilson franklin roosevelt harry truman supported sustained program ive discussed tonight
14356,I apologize for it but that one got right to the national honor and I'm sorry.,0,apologize one got right national honor im sorry
25899,"It had 26 separate maps they had to sign, literally thousands of delineations of who would do what on the West Bank, and I believe if the parties will get together and in a good-faith manner make that agreement, that they'll be able to do it if we cannot impose a peace on the Middle East.",0,separate map sign literally thousand delineation would west bank believe party get together goodfaith manner make agreement theyll able impose peace middle east
27398,"First of all, the sequester is not something that I've proposed.",0,first sequester something ive proposed
10148,"Wherever possible the -- the benefit of having two parents in the home, and that's not always possible.",0,wherever possible benefit two parent home thats always possible
29219,"How do you bring back -- specifically bring back jobs, American manufacturers?",0,bring back specifically bring back job american manufacturer
23612,Religion has been a huge part of my life.,0,religion huge part life
19544,"Americans shouldn't have gone there in the first place, had we let them defend themselves, as they have a right to do under Article 57 of the United Nations charter.",1,american shouldnt gone first place let defend right article united nation charter
350,I'd say around 30 percent.,0,id say around percent
34356,"We've got to get back to rebuilding the middle class, the families of America.",0,weve got get back rebuilding middle class family america
7584,He points to the fact that I visited Cuba while Mr. Batista was in power there.,0,point fact visited cuba mr batista power
21150,"I believe that -- I believe they've moved that sign, ""The buck stops here"" from the Oval Office desk to ""The buck stops here"" on the Lincoln bedroom.",0,believe believe theyve moved sign buck stop oval office desk buck stop lincoln bedroom
14308,I think we're making progress here.,0,think making progress
1673,Are we going to double on top-down economic policies that helped to get us into this mess or do we embrace a new economic patriotism that says America does best when the middle class does best?,0,going double topdown economic policy helped get u mess embrace new economic patriotism say america best middle class best
2181,"It's called premium support, but it's understood to be a voucher program.",0,called premium support understood voucher program
9900,"And what I've also said is for young people who come here, brought here often times by their parents.",0,ive also said young people come brought often time parent
719,Two questions: How do you deter nuclear attack without modernizing our nuclear forces when the Soviets are modernizing and how come you spend-willing to spend a dime on something that you consider a fantasy and a fraud.,0,two question deter nuclear attack without modernizing nuclear force soviet modernizing come spendwilling spend dime something consider fantasy fraud
1748,And so the question is how to get them going again.,0,question get going
21097,I want to get a better rate of return for your own money than the paltry 2% that the current Social Security Trust gets today.,0,want get better rate return money paltry current social security trust get today
6110,"If you don't have health insurance or you want to buy into a group plan, you will be able to buy into the plan that I just described.",0,dont health insurance want buy group plan able buy plan described
27257,We're all focused on China.,0,focused china
18732,And I think this will work.,0,think work
5668,That's not the way we cut -- we'll cut out all the pork.,0,thats way cut well cut pork
12077,But I think that we -- I think we have to start with better parenting.,0,think think start better parenting
30177,But nobody called Sean Hannity.,1,nobody called sean hannity
17532,"Net farm income is off 50 percent in the last 3 years, and every farmer knows it.",1,net farm income percent last year every farmer know
18155,What message does that send to our allies?,0,message send ally
8306,"Secondly, my objection to present farm policy is that there are no effective controls to bring supply and demand into better balance.",0,secondly objection present farm policy effective control bring supply demand better balance
26693,I'm proud that we're better off on that than we were four years ago.,0,im proud better four year ago
22158,We may differ about what the elements of that are.,0,may differ element
12467,I would like to unite this country to get an agenda done that will speak to the hopes and aspirations of the future.,0,would like unite country get agenda done speak hope aspiration future
26708,"And when it comes to public ethics, he has a responsibility.",0,come public ethic responsibility
6082,We -- we need to have -- we need to have employers reward employees who join health clubs and practice wellness and fitness.,0,need need employer reward employee join health club practice wellness fitness
10223,A half a million manufacturing jobs have been lost in the last four years.,1,half million manufacturing job lost last four year
17904,"When we terminated 400,000 desperate, hopeless, defenseless Americans who were on disability -- confused and unable to defend themselves, and just laid them out on the street, as we did for 4 years, I don't think that's what America is all about.",1,terminated desperate hopeless defenseless american disability confused unable defend laid street year dont think thats america
11287,"If Iran acquires nuclear weapons, all the other countries will acquire them, too.",0,iran acquires nuclear weapon country acquire
10119,Most recently out in Aurora.,0,recently aurora
16188,"Can you add five seconds, Bernie, out of fairness?",0,add five second bernie fairness
26848,"Because you're going to decide whether we're going to balance the budget now, but protect Medicare, Medicaid, education and the environment.",0,youre going decide whether going balance budget protect medicare medicaid education environment
8383,#NAME?,0,name
12271,But it starts with working in a collaborative effort with states and local folks.,1,start working collaborative effort state local folk
16855,It's to make sure that everybody pays taxes on the income that they earn and make sure that you take whatever savings there is from the higher income levels and give it to the lower- and middle-income families.,0,make sure everybody pay tax income earn make sure take whatever saving higher income level give lower middleincome family
744,"And, yet, after sitting through meeting after meeting, he endorsed that decision, endorsed the sale of arms to the Ayatollah in exchange for hostages, one of the most tragic, one of the most mistaken foreign policy decisions we've ever made in this country and I dare say encouraged others to take hostages as we now know.",1,yet sitting meeting meeting endorsed decision endorsed sale arm ayatollah exchange hostage one tragic one mistaken foreign policy decision weve ever made country dare say encouraged others take hostage know
32808,But she's lied about a lot of things.,1,shes lied lot thing
21849,So I want to keep the quality of health care.,0,want keep quality health care
6851,In the Senate we passed the right of Americans to import drugs from Canada.,1,senate passed right american import drug canada
14819,I'm a father of sons; I have a grandson.,0,im father son grandson
25117,We were there for the better part of a year.,0,better part year
22321,It's as good as any private school in the country.,0,good private school country
21193,But he wasn't in the Senate with Senator Feingold.,1,wasnt senate senator feingold
11996,I think -- in the last few years I think have been unfortunate.,0,think last year think unfortunate
22668,That's the kind of mindset that says sanctions were working.,0,thats kind mindset say sanction working
19396,They know the Democratic party won't do it.,0,know democratic party wont
1335,"And in those two cases, I would favor them.",0,two case would favor
30175,"He said, you used to have fights with me, because Sean was in favor of the war.",1,said used fight sean favor war
1739,"Middle- income Americans have seen their income come down by $4,300.",1,middle income american seen income come
28781,What I cared about is could we work together.,0,cared could work together
26026,It will probably have to be done by a commission.,0,probably done commission
32794,And I'll be a president that will turn our inner cities around and will give strength to people and will give economics to people and will bring jobs back.,0,ill president turn inner city around give strength people give economics people bring job back
22957,The when I can't tell you.,0,cant tell
18427,And I try not to.,0,try
12673,"And when we are strong and when we are first, then freedom gains; then the prospects for peace increase; then the prospects for our society gain.",0,strong first freedom gain prospect peace increase prospect society gain
23764,And I ask you for the privilege of leading our nation to be stronger at home and respected again in the world.,0,ask privilege leading nation stronger home respected world
1455,"With all due respect to President Ford, I think he ought to be ashamed of mentioning that statement, because we have the highest unemployment rate now than we had at any time between the Great Depression caused by Herbert Hoover and the time President Ford took office.",1,due respect president ford think ought ashamed mentioning statement highest unemployment rate time great depression caused herbert hoover time president ford took office
12683,"We have five treaties with Latin America, including the one setting up the Organization of American States in Bogota in 1948, in which we have agreed not to intervene in the internal affairs of any other American country - and they as well have agreed to do likewise.",1,five treaty latin america including one setting organization american state bogota agreed intervene internal affair american country well agreed likewise
5821,"I do think that he inappropriately drew a comparison between what was happening there and what had happened during the civil rights movement, and we immediately put out a statement saying that we don't think that comparison is appropriate.",0,think inappropriately drew comparison happening happened civil right movement immediately put statement saying dont think comparison appropriate
21675,"And, very simply, in the inner city, they're starved -- you see, small business is the way to jump start the inner city, not --",0,simply inner city theyre starved see small business way jump start inner city
29141,"You see that, their small car division leaving.",1,see small car division leaving
14715,That is my commitment to you.,0,commitment
9861,And let me step back and tell you what I would like to do with our immigration policy broadly and include an answer to your question.,0,let step back tell would like immigration policy broadly include answer question
7937,We don't know what the future's going to bring.,0,dont know future going bring
23854,That's because we believe in investing in education and in jobs.,0,thats believe investing education job
27251,"Number two, we're going to increase our trade.",0,number two going increase trade
28847,Are you for it without quotas?,0,without quota
13836,"If you have a heart problem, you don't wait till a heart attack to address it.",0,heart problem dont wait till heart attack address
20130,When I'm President of the United States we're going to have a governors' council and we're going to work directly with the governors to get power back to the people and back to the states.,0,im president united state going governor council going work directly governor get power back people back state
12116,"It empowers people, it trusts people, it makes -- and it's a practical way to encourage people to purchase health care insurance.",0,empowers people trust people make practical way encourage people purchase health care insurance
28271,"And the consequence is that federal portion or federal money will go to the parent, so the parent can go to a tutoring program or another public school or another private school.",1,consequence federal portion federal money go parent parent go tutoring program another public school another private school
26207,"Now all you got that tax cut, congratulations.",0,got tax cut congratulation
30132,"And believe me, you were the ones that took out the troops.",1,believe one took troop
7271,But I'll never fail to protect the United States of America.,0,ill never fail protect united state america
27874,...because the private sector's not going to invest in a...,0,private sector going invest
25524,What explains this administration cozying up to the Argentine dictators after they took over?,0,explains administration cozying argentine dictator took
404,Let's talk about housing which the question was.,0,let talk housing question
6806,It made a lot of sense.,0,made lot sense
14433,"And I cannot let that stand, because it isn't true.",0,let stand isnt true
19416,I think we all do.,0,think
28042,One of the best in advancing all kinds of benefits for children to grow up healthy and strong.,1,one best advancing kind benefit child grow healthy strong
27244,"And when it comes to our economy here at home, I know what it takes to create 12 million new jobs and rising take-home pay.",0,come economy home know take create million new job rising takehome pay
5822,"And, in fact, afterwards, Congressman Lewis put out a similar statement, saying that he had probably gone over the line.",1,fact afterwards congressman lewis put similar statement saying probably gone line
26912,Our hearts and -- and minds go out to them.,0,heart mind go
7746,"Every time the United States has been an one side and they've been on the other side, our position has been sustained.",1,every time united state one side theyve side position sustained
3625,"I want to double the dividend from $3,500 to $7,000 for every dependent child in America.",0,want double dividend every dependent child america
2627,"When it comes to making college affordable, whether it's two-year or four-year, one of the things that I did as president was we were sending $60 billion to banks and lenders as middlemen for the student loan program, even though the loans were guaranteed.",1,come making college affordable whether twoyear fouryear one thing president sending billion bank lender middleman student loan program even though loan guaranteed
34350,"I take that very seriously, because I do think it's one of the issues we've got to come to grips with.",0,take seriously think one issue weve got come grip
13752,"And if they can't do it, if the Congress can't do it, let them then have to do it across the board.",0,cant congress cant let across board
25108,"No, Morton, I don't agree to all of those things.",0,morton dont agree thing
5913,"That's what he's done when it comes to, for example, passing the landmark 1994 crime bill, the Violence Against Women's Act.",1,thats he done come example passing landmark crime bill violence woman act
967,With decent and affordable healthcare for all working families.,0,decent affordable healthcare working family
12076,"And if I'm elected president, I will do something about that.",0,im elected president something
12565,We must have a great goal.,0,must great goal
13678,"Let me remind you it was a Democratic tax increase, and I didn't want to do it and I went along with it.",1,let remind democratic tax increase didnt want went along
